PING jamilin.com (50.116.70.236) 56(84) bytes of data.
64 bytes from 50.116.70.236: icmp_seq=111 ttl=42 time=119 ms
64 bytes from 50.116.70.236: icmp_seq=112 ttl=42 time=121 ms
64 bytes from 50.116.70.236: icmp_seq=113 ttl=42 time=123 ms
64 bytes from 50.116.70.236: icmp_seq=114 ttl=42 time=124 ms
64 bytes from 50.116.70.236: icmp_seq=115 ttl=42 time=118 ms
64 bytes from 50.116.70.236: icmp_seq=116 ttl=42 time=121 ms
64 bytes from 50.116.70.236: icmp_seq=117 ttl=42 time=119 ms
64 bytes from 50.116.70.236: icmp_seq=118 ttl=42 time=120 ms
64 bytes from 50.116.70.236: icmp_seq=119 ttl=42 time=121 ms
64 bytes from 50.116.70.236: icmp_seq=120 ttl=42 time=120 ms

--- jamilin.com ping statistics ---
120 packets transmitted, 120 received, 0% packet loss, time 119033ms
rtt min/avg/max/mdev = 118.714/121.291/128.567/2.362 ms
