PING theworldsworstwebsiteever.com (162.241.131.251) 56(84) bytes of data.
64 bytes from 162.241.131.251: icmp_seq=37 ttl=43 time=130 ms
64 bytes from 162.241.131.251: icmp_seq=38 ttl=43 time=130 ms
64 bytes from 162.241.131.251: icmp_seq=39 ttl=43 time=130 ms
64 bytes from 162.241.131.251: icmp_seq=40 ttl=43 time=130 ms
64 bytes from 162.241.131.251: icmp_seq=41 ttl=43 time=130 ms
64 bytes from 162.241.131.251: icmp_seq=42 ttl=43 time=129 ms
64 bytes from 162.241.131.251: icmp_seq=43 ttl=43 time=134 ms
64 bytes from 162.241.131.251: icmp_seq=44 ttl=43 time=135 ms
64 bytes from 162.241.131.251: icmp_seq=45 ttl=43 time=132 ms
64 bytes from 162.241.131.251: icmp_seq=46 ttl=43 time=130 ms
64 bytes from 162.241.131.251: icmp_seq=47 ttl=43 time=129 ms
64 bytes from 162.241.131.251: icmp_seq=48 ttl=43 time=130 ms
64 bytes from 162.241.131.251: icmp_seq=49 ttl=43 time=132 ms
64 bytes from 162.241.131.251: icmp_seq=50 ttl=43 time=132 ms
64 bytes from 162.241.131.251: icmp_seq=51 ttl=43 time=130 ms
64 bytes from 162.241.131.251: icmp_seq=52 ttl=43 time=130 ms
64 bytes from 162.241.131.251: icmp_seq=53 ttl=43 time=131 ms
64 bytes from 162.241.131.251: icmp_seq=54 ttl=43 time=133 ms
64 bytes from 162.241.131.251: icmp_seq=55 ttl=43 time=130 ms
64 bytes from 162.241.131.251: icmp_seq=56 ttl=43 time=132 ms
64 bytes from 162.241.131.251: icmp_seq=57 ttl=43 time=133 ms
64 bytes from 162.241.131.251: icmp_seq=58 ttl=43 time=134 ms
64 bytes from 162.241.131.251: icmp_seq=59 ttl=43 time=132 ms
64 bytes from 162.241.131.251: icmp_seq=60 ttl=43 time=129 ms
64 bytes from 162.241.131.251: icmp_seq=61 ttl=43 time=130 ms
64 bytes from 162.241.131.251: icmp_seq=62 ttl=43 time=131 ms
64 bytes from 162.241.131.251: icmp_seq=63 ttl=43 time=129 ms
64 bytes from 162.241.131.251: icmp_seq=64 ttl=43 time=130 ms
64 bytes from 162.241.131.251: icmp_seq=65 ttl=43 time=130 ms
64 bytes from 162.241.131.251: icmp_seq=66 ttl=43 time=139 ms
64 bytes from 162.241.131.251: icmp_seq=67 ttl=43 time=130 ms
64 bytes from 162.241.131.251: icmp_seq=68 ttl=43 time=131 ms
64 bytes from 162.241.131.251: icmp_seq=69 ttl=43 time=132 ms
64 bytes from 162.241.131.251: icmp_seq=70 ttl=43 time=132 ms
64 bytes from 162.241.131.251: icmp_seq=71 ttl=43 time=133 ms
64 bytes from 162.241.131.251: icmp_seq=72 ttl=43 time=130 ms
64 bytes from 162.241.131.251: icmp_seq=73 ttl=43 time=132 ms
64 bytes from 162.241.131.251: icmp_seq=74 ttl=43 time=130 ms
64 bytes from 162.241.131.251: icmp_seq=75 ttl=43 time=131 ms
64 bytes from 162.241.131.251: icmp_seq=76 ttl=43 time=130 ms
64 bytes from 162.241.131.251: icmp_seq=77 ttl=43 time=134 ms
64 bytes from 162.241.131.251: icmp_seq=78 ttl=43 time=131 ms
64 bytes from 162.241.131.251: icmp_seq=79 ttl=43 time=129 ms
64 bytes from 162.241.131.251: icmp_seq=80 ttl=43 time=131 ms
64 bytes from 162.241.131.251: icmp_seq=81 ttl=43 time=129 ms
64 bytes from 162.241.131.251: icmp_seq=82 ttl=43 time=129 ms
64 bytes from 162.241.131.251: icmp_seq=83 ttl=43 time=133 ms
64 bytes from 162.241.131.251: icmp_seq=84 ttl=43 time=134 ms
64 bytes from 162.241.131.251: icmp_seq=85 ttl=43 time=131 ms
64 bytes from 162.241.131.251: icmp_seq=86 ttl=43 time=133 ms
64 bytes from 162.241.131.251: icmp_seq=87 ttl=43 time=132 ms
64 bytes from 162.241.131.251: icmp_seq=88 ttl=43 time=129 ms
64 bytes from 162.241.131.251: icmp_seq=89 ttl=43 time=129 ms
64 bytes from 162.241.131.251: icmp_seq=90 ttl=43 time=131 ms
64 bytes from 162.241.131.251: icmp_seq=91 ttl=43 time=130 ms
64 bytes from 162.241.131.251: icmp_seq=92 ttl=43 time=134 ms
64 bytes from 162.241.131.251: icmp_seq=93 ttl=43 time=135 ms
64 bytes from 162.241.131.251: icmp_seq=94 ttl=43 time=134 ms
64 bytes from 162.241.131.251: icmp_seq=95 ttl=43 time=132 ms
64 bytes from 162.241.131.251: icmp_seq=96 ttl=43 time=132 ms
64 bytes from 162.241.131.251: icmp_seq=97 ttl=43 time=130 ms
64 bytes from 162.241.131.251: icmp_seq=98 ttl=43 time=130 ms
64 bytes from 162.241.131.251: icmp_seq=99 ttl=43 time=131 ms
64 bytes from 162.241.131.251: icmp_seq=100 ttl=43 time=130 ms
64 bytes from 162.241.131.251: icmp_seq=101 ttl=43 time=134 ms
64 bytes from 162.241.131.251: icmp_seq=102 ttl=43 time=132 ms
64 bytes from 162.241.131.251: icmp_seq=103 ttl=43 time=130 ms
64 bytes from 162.241.131.251: icmp_seq=104 ttl=43 time=130 ms
64 bytes from 162.241.131.251: icmp_seq=105 ttl=43 time=130 ms
64 bytes from 162.241.131.251: icmp_seq=106 ttl=43 time=129 ms
64 bytes from 162.241.131.251: icmp_seq=107 ttl=43 time=129 ms
64 bytes from 162.241.131.251: icmp_seq=108 ttl=43 time=133 ms
64 bytes from 162.241.131.251: icmp_seq=109 ttl=43 time=133 ms
64 bytes from 162.241.131.251: icmp_seq=110 ttl=43 time=132 ms
64 bytes from 162.241.131.251: icmp_seq=111 ttl=43 time=131 ms
64 bytes from 162.241.131.251: icmp_seq=112 ttl=43 time=130 ms
64 bytes from 162.241.131.251: icmp_seq=113 ttl=43 time=129 ms
64 bytes from 162.241.131.251: icmp_seq=114 ttl=43 time=133 ms
64 bytes from 162.241.131.251: icmp_seq=115 ttl=43 time=133 ms
64 bytes from 162.241.131.251: icmp_seq=116 ttl=43 time=134 ms
64 bytes from 162.241.131.251: icmp_seq=117 ttl=43 time=134 ms
64 bytes from 162.241.131.251: icmp_seq=118 ttl=43 time=137 ms
64 bytes from 162.241.131.251: icmp_seq=119 ttl=43 time=136 ms
64 bytes from 162.241.131.251: icmp_seq=120 ttl=43 time=130 ms

--- theworldsworstwebsiteever.com ping statistics ---
120 packets transmitted, 120 received, 0% packet loss, time 119157ms
rtt min/avg/max/mdev = 129.518/131.940/139.349/2.119 ms
