PING just.edu.so (108.167.165.61) 56(84) bytes of data.
64 bytes from 108.167.165.61: icmp_seq=99 ttl=36 time=136 ms
64 bytes from 108.167.165.61: icmp_seq=100 ttl=36 time=135 ms
64 bytes from 108.167.165.61: icmp_seq=101 ttl=36 time=130 ms
64 bytes from 108.167.165.61: icmp_seq=102 ttl=36 time=130 ms
64 bytes from 108.167.165.61: icmp_seq=103 ttl=36 time=130 ms
64 bytes from 108.167.165.61: icmp_seq=104 ttl=36 time=161 ms
64 bytes from 108.167.165.61: icmp_seq=105 ttl=36 time=131 ms
64 bytes from 108.167.165.61: icmp_seq=106 ttl=36 time=135 ms
64 bytes from 108.167.165.61: icmp_seq=107 ttl=36 time=130 ms
64 bytes from 108.167.165.61: icmp_seq=108 ttl=36 time=131 ms
64 bytes from 108.167.165.61: icmp_seq=109 ttl=36 time=135 ms
64 bytes from 108.167.165.61: icmp_seq=110 ttl=36 time=129 ms
64 bytes from 108.167.165.61: icmp_seq=111 ttl=36 time=129 ms
64 bytes from 108.167.165.61: icmp_seq=112 ttl=36 time=131 ms
64 bytes from 108.167.165.61: icmp_seq=113 ttl=36 time=133 ms
64 bytes from 108.167.165.61: icmp_seq=114 ttl=36 time=132 ms
64 bytes from 108.167.165.61: icmp_seq=115 ttl=36 time=131 ms
64 bytes from 108.167.165.61: icmp_seq=116 ttl=36 time=129 ms
64 bytes from 108.167.165.61: icmp_seq=117 ttl=36 time=130 ms
64 bytes from 108.167.165.61: icmp_seq=118 ttl=36 time=129 ms
64 bytes from 108.167.165.61: icmp_seq=119 ttl=36 time=130 ms
64 bytes from 108.167.165.61: icmp_seq=120 ttl=36 time=131 ms

--- just.edu.so ping statistics ---
120 packets transmitted, 120 received, 0% packet loss, time 119141ms
rtt min/avg/max/mdev = 129.518/131.606/161.463/3.347 ms
